,name,abbr_iau,abbr_nasa,genitive,origin,meaning,bs_name,abbr_upper,name_cn,area,ra,dec,quadrant,family,bs_name_bayer_cn,bs_name_cn
11,Cancer,Cnc,Canc,Cancri,ancient (Ptolemy),crab,Tarf,CNC,巨蟹座,505.872,8 38.96,19 48.35,NQ2,黄道,巨蟹座β,柳宿增十
12,Canes Venatici,CVn,CVen,Canum Venaticorum,"1690, Firmamentum Sobiescianum, Hevelius",hunting dogs,Cor Caroli,CVN,猎犬座,465.194,13 6.96,40 6.11,NQ3,大熊,猎犬座α,常陈一
13,Canis Major,CMa,CMaj,Canis Majoris,ancient (Ptolemy),greater dog,Sirius,CMA,大犬座,380.118,6 49.74,-22 8.42,SQ2,猎户,大犬座α,天狼星
14,Canis Minor,CMi,CMin,Canis Minoris,ancient (Ptolemy),lesser dog,Procyon,CMI,小犬座,183.367,7 39.17,6 25.63,NQ2,猎户,小犬座α,南河三
15,Capricornus,Cap,Capr,Capricorni,ancient (Ptolemy),sea goat,Deneb Algedi,CAP,摩羯座,413.947,21 2.93,-18 1.39,SQ4,黄道,摩羯座δ,垒壁阵四
16,Carina,Car,Cari,Carinae,"1763, Lacaille, split from Argo Navis",keel,Canopus,CAR,船底座,494.184,8 41.7,-63 13.16,SQ2,幻之水,船底座α,老人星
17,Cassiopeia,Cas,Cass,Cassiopeiae,ancient (Ptolemy),Cassiopeia (mythological character),Schedar,CAS,仙后座,598.407,1 19.16,62 11.04,NQ1,英仙,仙后座α,王良四
18,Centaurus,Cen,Cent,Centauri,ancient (Ptolemy),centaur,Rigil Kentaurus,CEN,半射手座,1060.422,13 4.27,-47 20.72,SQ3,武仙,半人马座α,南门二
19,Cepheus,Cep,Ceph,Cephei,ancient (Ptolemy),Cepheus (mythological character),Alderamin,CEP,仙王座,587.787,22 0,71 0.51,NQ4,英仙,仙王座α,天钩五
20,Cetus,Cet,Ceti,Ceti,ancient (Ptolemy),sea monster (later interpreted as a whale),Diphda,CET,鲸鱼座,1231.411,1 40.1,-7 10.76,SQ1,英仙,鲸鱼座β,土司空
21,Chamaeleon,Cha,Cham,Chamaeleontis,"1603, Uranometria, created by Keyser and de Houtman",chameleon,α Chamaeleontis,CHA,蝘蜓座,131.592,10 41.53,-79 12.3,SQ2,拜耳,蝘蜓座α,小斗增一
22,Circinus,Cir,Circ,Circini,"1763, Lacaille",compasses,α Circini,CIR,圆规座,93.353,14 34.54,-63 1.82,SQ3,拉卡伊,圆规座α,南门增二
23,Columba,Col,Colm,Columbae,"1592, Plancius, split from Canis Major",dove,Phact,COL,天鸽座,270.184,5 51.76,-35 5.67,SQ1,幻之水,天鸽座α,丈人一
24,Coma Berenices,Com,Coma,Comae Berenices,"1536, Caspar Vopel,[9] split from Leo",Berenice's hair,β Comae Berenices,COM,后发座,386.475,12 47.27,23 18.34,NQ3,大熊,后发座β,周鼎一
25,Corona Australis,CrA,CorA,Coronae Australis,ancient (Ptolemy),southern crown,Meridiana,CRA,南冕座,127.696,18 38.79,-41 8.85,SQ4,武仙,南冕座α,鳖六
26,Corona Borealis,CrB,CorB,Coronae Borealis,ancient (Ptolemy),northern crown,Alphecca,CRB,北冕座,178.71,15 50.59,32 37.49,NQ3,大熊,北冕座α,贯索四
27,Corvus,Crv,Corv,Corvi,ancient (Ptolemy),crow,Gienah,CRV,乌鸦座,183.801,12 26.52,-18 26.2,SQ3,武仙,乌鸦座γ,轸宿一
28,Crater,Crt,Crat,Crateris,ancient (Ptolemy),cup,δ Crateris,CRT,巨爵座,282.398,11 23.75,-15 55.74,SQ2,武仙,巨爵座δ,翼宿七
29,Crux,Cru,Cruc,Crucis,"1603, Uranometria, split from Centaurus",southern cross,Acrux,CRU,南十字座,68.447,12 26.99,-60 11.19,SQ3,武仙,南十字座α,十字架二
30,Cygnus,Cyg,Cygn,Cygni,ancient (Ptolemy),swan or Northern Cross,Deneb,CYG,天鹅座,803.983,20 35.28,44 32.7,NQ4,武仙,天鹅座α,天津四
31,Delphinus,Del,Dlph,Delphini,ancient (Ptolemy),dolphin,Rotanev,DEL,海豚座,188.549,20 41.61,11 40.26,NQ4,幻之水,海豚座β,瓠瓜四
32,Dorado,Dor,Dora,Doradus,"1603, Uranometria, created by Keyser and de Houtman",dolphinfish,α Doradus,DOR,剑鱼座,179.173,5 14.51,-59 23.22,SQ1,拜耳,剑鱼座α,金鱼二
33,Draco,Dra,Drac,Draconis,ancient (Ptolemy),dragon,Eltanin,DRA,天龙座,1082.952,15 8.64,67 0.4,NQ3,大熊,天龙座γ,天棓四
34,Equuleus,Equ,Equl,Equulei,ancient (Ptolemy),pony,Kitalpha,EQU,小马座,71.641,21 11.26,7 45.49,NQ4,幻之水,小马座α,虚宿二
35,Eridanus,Eri,Erid,Eridani,ancient (Ptolemy),river Eridanus (mythology),Achernar,ERI,波江座,1137.919,3 18.02,-28 45.37,SQ1,幻之水,波江座α,水委一
36,Fornax,For,Forn,Fornacis,"1763, Lacaille",chemical furnace,Dalim,FOR,天炉座,397.502,2 47.88,-31 38.07,SQ1,拉卡伊,天炉座α,天苑增三
37,Gemini,Gem,Gemi,Geminorum,ancient (Ptolemy),twins,Pollux,GEM,双子座,513.761,7 4.24,22 36.01,NQ2,黄道,双子座β,北河三
38,Grus,Gru,Grus,Gruis,"1603, Uranometria, created by Keyser and de Houtman",crane,Alnair,GRU,天鹤座,365.513,22 27.39,-46 21.11,SQ4,拜耳,天鹤座α,鹤一
39,Hercules,Her,Herc,Herculis,ancient (Ptolemy),Hercules (mythological character),Kornephoros,HER,武仙座,1225.148,17 23.16,27 29.93,NQ3,武仙,武仙座β,河中/天市右垣一
40,Horologium,Hor,Horo,Horologii,"1763, Lacaille",pendulum clock,α Horologii,HOR,时钟座,248.885,3 16.56,-53 20.18,SQ1,拉卡伊,时钟座α,天园增六
41,Hydra,Hya,Hyda,Hydrae,ancient (Ptolemy),Hydra (mythological creature),Alphard,HYA,长蛇座,1302.844,11 36.73,-14 31.91,SQ2,武仙,长蛇座α,星宿一
42,Hydrus,Hyi,Hydi,Hydri,"1603, Uranometria, created by Keyser and de Houtman",lesser water snake,β Hydri,HYI,水蛇座,243.035,2 20.65,-69 57.39,SQ1,拜耳,水蛇座β,蛇尾一
43,Indus,Ind,Indi,Indi,"1603, Uranometria, created by Keyser and de Houtman",Indian (of unspecified type),α Indi,IND,印第安座,294.006,21 58.33,-59 42.4,SQ4,拜耳,印第安座α,波斯二
44,Lacerta,Lac,Lacr,Lacertae,"1690, Firmamentum Sobiescianum, Hevelius",lizard,α Lacertae,LAC,蝎虎座,200.688,22 27.68,46 2.51,NQ4,英仙,蝎虎座α,螣蛇一
45,Leo,Leo,Leon,Leonis,ancient (Ptolemy),lion,Regulus,LEO,狮子座,946.964,10 40.03,13 8.32,NQ2,黄道,狮子座α,轩辕十四
46,Leo Minor,LMi,LMin,Leonis Minoris,"1690, Firmamentum Sobiescianum, Hevelius",lesser lion,Praecipua,LMI,小狮座,231.956,10 14.72,32 8.08,NQ2,大熊,小狮座46,势四
47,Lepus,Lep,Leps,Leporis,ancient (Ptolemy),hare,Arneb,LEP,天兔座,290.291,5 33.95,-19 2.78,SQ1,猎户,天兔座α,厕一
48,Libra,Lib,Libr,Librae,ancient (Ptolemy),balance,Zubeneschamali,LIB,天秤座,538.052,15 11.96,-15 14.08,SQ3,黄道,天秤座β,氐宿四
49,Lupus,Lup,Lupi,Lupi,ancient (Ptolemy),wolf,α Lupi,LUP,豺狼座,333.683,15 13.21,-42 42.53,SQ3,武仙,豺狼座α,骑官十
50,Lynx,Lyn,Lync,Lyncis,"1690, Firmamentum Sobiescianum, Hevelius",lynx,α Lyncis,LYN,天猫座,545.386,7 59.53,47 28,NQ2,大熊,天猫座α,轩辕四
