,name_en,code,cons_abbr,name_cn,brightness,misc,top20,commonly_used
711,Rigil Kentaurus,a,Cen,南門二,-0.27,d,yes,yes
712,Rigl al Awwa,m,Vir,亢宿增七,3.9,,no,no
713,Rotanen,b,Del ,瓠瓜四,3.7,,no,no
714,Rotanev,b,Del,瓠瓜四,3.7,,no,no
715,Rucha,d,Cas,閣道三,2.68,,no,no
716,Ruchba,o2,Cyg,天津增三十七,5.4,,no,no
717,Ruchbah,d,Cas,閣道三,2.68,,no,yes
718,Ruchbah,e,Cas,閣道二,3.4,,no,no
719,Rukbat,a,Sgr,天淵三,4.1,,no,yes
720,Rukbat al Rami,a,Sgr,天淵三,4.1,,no,no
721,Rukbat al-dejajah,o2,Cyg,天津增三十七,5.4,,no,no
722,Rutilicus,b,Her,"河中,天市右垣一",2.8,,no,no
723,Rutilicus,z,Her,天紀二,2.81,,no,no
724,"Saad el     
        Melik",a,Aqr,危宿一,2.96,,no,no
725,Saad el Suud,b,Aqr,虛宿一,2.91,,no,no
726,Saak,h,Boo,右攝提一,2.86,,no,no
727,Sabik,h,Oph,"宋,天市左垣十一",2.43,,no,yes
728,Saclateni,z,Aur,柱二(畢宿),3.8,,no,no
729,Sad es Saud,b,Aqr,虛宿一,2.91,,no,no
730,Sadachbia,g,Aqr,墳墓二,3.8,,no,yes
731,Sadal Melik,a,Aqr,危宿一,2.96,,no,no
732,Sadalachbia,g,Aqr,墳墓二,3.8,,no,no
733,Sadalbari,m,Peg,離宮二,3.5,,no,yes
734,Sadalmelek,a,Aqr,危宿一,2.96,,no,no
735,Sadalmelik,a,Aqr,危宿一,2.96,,no,yes
736,Sadalsud,b,Aqr,虛宿一,2.91,,no,no
737,Sadalsund,b,Aqr,虛宿一,2.91,,no,no
738,Sadalsuud,b,Aqr,虛宿一,2.91,,no,yes
739,Sadatoni,z,Aur,柱二(畢宿),3.8,,no,no
740,Sadatoni,z,Car,柱二(畢宿),4,v,no,no
741,Sadir,g,Cyg ,天津一,2.2,,no,no
742,Sadira,s,Sgr,斗宿四,2.02,,no,no
743,Sadlamulk,a,Aqr,危宿一,2.96,,no,no
744,Sador,g,Cyg,天津一,2.2,,no,no
745,Sadr,g,Cyg,天津一,2.2,,no,yes
746,Sadr el dedschadsche,g,Cyg,天津一,2.2,,no,no
747,Saidak,80,UMa,開陽增一,4,,no,no
748,Saiph,h,Ori,參宿增三,3.4,,no,no
749,Saiph,i,Ori,伐三,2.77,d,no,no
750,Saiph,k,Ori,參宿六,2.06,,no,yes
751,Salm,t,Peg ,離宮五,4.6,,no,no
752,Sargas,q,Sco,尾宿五,1.87,,no,no
753,Sarin,d,Her,"魏,天市左垣一",3.14,,no,no
754,Sartan,a,Cnc,柳宿增三,4.3,,no,no
755,Scalovin,a,Del,瓠瓜一,3.8,,no,no
756,Sceptrum,53,Eri,九斿增四,4,,no,no
757,Scheat,d,Aqr,羽林軍二十六,3.3,,no,no
758,Scheat,b,Peg,室宿二,2.42,v,no,yes
759,Schedar,a,Cas,王良四,2.23,v,no,yes
760,Scheddi,d,Cap,壘壁陣四,2.87,,no,no
761,Schedir,a,Cas,王良四,2.23,v,no,no
762,Schemali,i,Cet,天倉一,3.6,,no,no
763,Scutulum,i,Car,海石二,2.25,,no,no
764,Seat Alpheras,b,Peg,室宿二,2.42,v,no,no
765,Secunda Giedi,a2,Cap ,牛宿二,3.6,,no,no
766,Segin,e,Cas,閣道二,3.4,,no,no
767,Seginus,g,Boo,招搖,3.03,,no,yes
768,Sertan,a,Cnc,柳宿增三,4.3,,no,no
769,Sham,a,Sge,左旗一,4.4,,no,no
770,Sharatan,b,Ari,婁宿一,2.64,,no,no
771,Shaula,l,Sco,尾宿八,1.63,,no,yes
772,Sheat,b,Peg,室宿二,2.42,v,no,no
773,Shedar,a,Cas,王良四,2.23,v,no,no
774,Sheddi,d,Cap,壘壁陣四,2.87,,no,no
775,Shedir,a,Cas,王良四,2.23,v,no,no
776,Shedir,a,Cas,王良四,2.23,v,no,no
777,Sheliak,b,Lyr,漸台二,3.4,v,no,yes
778,Shelyak,b,Lyr,漸台二,3.4,v,no,no
779,Shemali,i,Cet,天倉一,3.6,,no,no
780,Sheratan,b,Ari,婁宿一,2.64,,no,yes
781,Shiliak,b,Lyr,漸台二,3.4,v,no,no
782,Singer,a,Aur,五車二,0.08,,no,no
783,Sirah,a,And,壁宿二,2.06,,no,no
784,Sirius,a,CMa,天狼,-1.46,d,yes,yes
785,Sirrah,a,And,壁宿二,2.06,,no,no
786,Situla,k,Aqr,虛梁三,5.3,,no,no
787,Skat,d,Aqr,羽林軍二十六,3.3,,no,yes
788,Spica,a,Vir,角宿一,0.98,,yes,yes
789,Spica Virginis,a,Vir,角宿一,0.98,,no,no
790,Sterope,21,Tau,昴宿三,5.8,,no,yes
791,Sualocin,a,Del ,瓠瓜一,3.8,,no,no
792,Subra,o,Leo,軒轅十五,3.8,,no,no
793,Suha,80,UMa,開陽增一,4,,no,no
794,Suhail,a,Car,老人,-0.72,,no,no
795,Suhail,l,Vel,天記,2.21,,no,no
796,Suhail al Mulif,g,Vel,天社一,1.8,,no,no
797,Suhail al Wazn,l,Vel,天記,2.21,,no,no
798,Suhail Hadar,z,Pup,弧矢增二十二,2.25,,no,no
799,Suhail Radar,z,Car,柱二(畢宿),4,v,no,no
800,Suhel,a,Car,老人,-0.72,,no,no
801,Sulafat,g,Lyr,漸台三,3.2,,no,yes
802,Sulaphat,g,Lyr,漸台三,3.2,,no,no
803,Superba,Y,CVn,,5,,no,no
804,Svalocin,a,Del,瓠瓜一,3.8,,no,no
805,Syrma,i,Vir,亢宿二,4.2,,no,yes
806,Ta Tsun,p,UMa,"內階增七,內階增九",4.8,,no,no
807,Tabit,p3,Ori,參旗六,3.3,,no,no
808,Tabit,u,Ori,參宿增三十六,4.6,,no,no
809,Tais,d,Dra,天廚一,3.07,,no,no
810,Talita,i,UMa,"上台一,三台一",3.14,,no,no
811,Talitha,i,UMa,"上台一,三台一",3.14,,no,yes
812,Tania Australis,m,UMa,"中台二,三台四",3.05,,no,yes
813,Tania Borealis,l,UMa,"中台一,三台三",3.5,,no,yes
814,Tarazad,g,Aql,河鼓三,2.72,,no,no
815,Tarazed,g,Aql,河鼓三,2.72,,no,yes
816,Tarf,b,Cnc,柳宿增十,3.5,,no,no
817,Tayeta,19,Tau,昴宿二,4.4,,no,no
818,Taygeta,19,Tau,昴宿二,4.4,,no,yes
819,Taygete,19,Tau,昴宿二,4.4,,no,no
820,Tegmen,z,Cnc,水位四,4.7,d,no,no
821,Tegmine,z,Cnc,水位四,4.7,d,no,no
822,Tejat,m,Gem,井宿一,2.88,,no,no
823,Tejat Posterior,m,Gem,井宿一,2.88,,no,no
824,Tejat Prior,h,Gem,鉞,3.3,v,no,no
825,Terebellum,59,Sgr,狗國四,4.5,,no,no
826,Thabit,u,Ori,參宿增三十六,4.6,,no,no
827,Theemim,n2,Eri,天園九,3.8,,no,no
828,Theemin,n2,Eri,天園九,3.8,,no,no
829,Theemini,d,Eri,天苑三,3.7,,no,no
830,Thuban,a,Dra,"右樞,紫微右垣一",3.7,,no,yes
831,Toliman,a,Cen,南門二,-0.27,d,no,no
832,Tolimann,a,Cen,南門二,-0.27,d,no,no
833,Torcularis Septentrionalis,o,Psc,右更四,4.3,,no,no
834,Tramontana,a,UMi,"勾陳一,北極星",2.02,d,no,no
835,Tsih,g,Cas,策,2.47,,no,no
836,Turais,i,Car,海石二,2.25,,no,no
837,Tureis,i,Car,海石二,2.25,,no,no
838,Tyl,e,Dra,天廚三,4,,no,no
839,Unuk,a,Ser,"蜀,天市右垣七",2.65,,no,no
840,Unuk al Hai,a,Ser,"蜀,天市右垣七",2.65,,no,no
841,Unuk El Haia,a,Ser,"蜀,天市右垣七",2.65,,no,no
842,Unuk Elhaia,a,Ser,"蜀,天市右垣七",2.65,,no,no
843,Unukalhai,a,Ser,"蜀,天市右垣七",2.65,,no,yes
844,Urkab Posterior,b2,Sgr,天淵一,4.5,,no,no
845,Urkab Prior,b1,Sgr,天淵二,4.3,,no,no
846,Variabilis Coronae,R,CrB,,5.8,v,no,no
847,Vega,a,Lyr,織女一,0.03,d,yes,yes
848,Venabulum,m,Boo,七公六,4.5,,no,no
849,Venator,b,Del ,瓠瓜四,3.7,,no,no
850,Vendemiatrix,e,Vir,"東次相,太微左垣四",2.83,,no,no
851,Vespertilio,a,Sco,心宿二,0.96,d,no,no
852,Vespertilo,a,Sco,心宿二,0.96,d,no,no
853,Vildiur,d,UMi,勾陳二,4.4,,no,no
854,Vindemiator,e,Vir,"東次將,太微左垣四",2.83,,no,no
855,Vindemiatrix,e,Vir,"東次將,太微左垣四",2.83,,no,yes
856,Wasat,d,Gem,天樽二,3.5,,no,yes
857,Wasn,b,Col,子二,3.12,,no,no
858,Wazn,b,Col,子二,3.12,,no,yes
859,Wei,e,Sco,尾宿二,2.29,,no,no
860,Wesen,d,CMa,弧矢一,1.84,,no,no
861,Wezea,d,CMa,弧矢一,1.84,,no,no
862,Wezen,d,CMa,弧矢一,1.84,,no,no
863,Wezn,b,Col,子二,3.12,,no,no
864,Yad,d,Oph,"梁,天市右垣九",2.74,,no,no
865,Yed,d,Oph,"梁,天市右垣九",2.74,,no,no
866,Yed Post,e,Oph,"楚,天市右垣十",3.3,,no,no
867,Yed Posterior,e,Oph,"楚,天市右垣十",3.3,,no,yes
868,Yed Prior,d,Oph,"梁,天市右垣九",2.74,,no,yes
869,Yildun,d,UMi,勾陳二,4.4,,no,no
870,Yilduz,a,UMi,"勾陳一,北極星",2.02,d,no,no
871,Yilduz,d,UMi,勾陳二,4.4,,no,no
872,Zania,h,Vir,"左執法,太微左垣一",4.1,,no,no
873,Zaniah,h,Vir,"左執法,太微左垣一",4.1,,no,yes
874,Zarijan,b,Vir,"右執法,太微右垣一",3.6,,no,no
875,Zaurac,g,Eri,天苑一,2.95,,no,no
876,Zaurack,g,Eri,天苑一,2.95,,no,no
877,Zaurak,g,Eri,天苑一,2.95,,no,yes
878,Zavijah,b,Vir,"右執法,太微右垣一",3.6,,no,no
879,Zavijava,b,Vir,"右執法,太微右垣一",3.6,,no,yes
880,Zavyava,b,Vir,"右執法,太微右垣一",3.6,,no,no
881,Zawijah,b,Vir,"右執法,太微右垣一",3.6,,no,no
882,Zebeneschamali,b,Lib,氐宿四,2.61,,no,no
883,Zenith Star,g,Dra,天棓四,2.23,,no,no
884,Zeubenelhakrabi,g,Lib,氐宿三,4,,no,no
885,Zibal,z,Eri,天苑五,4.9,,no,no
886,Zibel,z,Eri,天苑五,4.9,,no,no
887,Zosca,d,Leo,"西上相,太微右垣五",2.56,,no,no
888,Zosma,d,Leo,"西上相,太微右垣五",2.56,,no,yes
889,Zozca,d,Leo,"西上相,太微右垣五",2.56,,no,no
890,Zozma,d,Leo,"西上相,太微右垣五",2.56,,no,no
891,Zuben el Chamali,b,Lib,氐宿四,2.61,,no,no
892,Zuben el Genubi,a,Lib,氐宿一,2.75,,no,no
893,Zuben el Genubi,g,Sco,,3.3,,no,no
894,Zuben el Hakrabi,g,Lib,氐宿三,4,,no,no
895,Zuben Elakrab,g,Lib ,氐宿三,4,,no,no
896,Zuben Elakribi,d,Lib ,氐宿增一,4.9,v,no,no
897,Zuben Elgenubi,a,Lib ,氐宿一,2.75,,no,no
898,Zuben Elgenubi,g,Sco,,3.3,,no,no
899,Zuben Elschemali,b,Lib,氐宿四,2.61,,no,no
900,Zuben Hakrabi,g,Lib,氐宿三,4,,no,no
901,Zuben Hakrabi,h,Lib,西咸四,5.4,,no,no
902,Zuben Hakrabi,n,Lib,氐宿增十,5.2,,no,no
903,Zuben Hakrabi,g,Sco,,3.3,,no,no
904,Zuben Hakraki,g,Lib,氐宿三,4,,no,no
905,Zubenalgubi,s,Lib,折威七,3.3,,no,no
906,Zubenalgubi,g,Sco,,3.3,,no,no
907,Zubenelakrab,g,Lib,氐宿三,4,,no,no
908,Zubenelakribi,d,Lib,氐宿增一,4.9,v,no,no
909,Zubenelchemali,b,Lib,氐宿四,2.61,,no,no
910,Zubenelg,b,Lib,氐宿四,2.61,,no,no
911,Zubenelgenubi,a,Lib,氐宿一,2.75,,no,yes
912,Zubenesch,b,Lib,氐宿四,2.61,,no,no
913,Zubeneschamali,b,Lib,氐宿四,2.61,,no,yes
914,Zubenhakrabi,g,Lib,氐宿三,4,,no,no
915,Zubra,d,Leo,"西上相,太微右垣五",2.56,,no,no
916,Zuji al Nushshabah,g,Sgr,箕宿一,2.99,,no,no
